FID,LLGNAME,Area,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
,,,3218363240.361,Kokoda Rural LLG,PG060205,Sohe District,PG0602,Northern (Oro) Province,PG06,Papua New Guinea,PG,"118",29702.00000018,Kokoda Rural,Kokoda Rural LLG,Sohe District,Northern (Oro),147.8164453918,-8.9279293933
,,,134898791.820528,Kokopo/Vunamami Urban LLG,PG180208,Kokopo District,PG1802,East New Britain Province,PG18,Papua New Guinea,PG,"46",40231.00000126,Kokopo/Vunamami Urban,Kokopo/Vunamami Urban LLG,Kokopo District,East New Britain,152.2500812667,-4.3835590094
,,,586692500.425315,Kol Rural LLG,PG220407,Jimi District,PG2204,Jiwaka Province,PG22,Papua New Guinea,PG,"58",19964.00000029,Kol Rural,Kol Rural LLG,Jimi District,Jiwaka,144.8581003549,-5.6979662837
,,,1090031320.9703,Komba Rural LLG,PG120431,Kabwum District,PG1204,Morobe Province,PG12,Papua New Guinea,PG,"35",12971.00000044,Komba Rural,Komba Rural LLG,Kabwum District,Morobe,147.3503515002,-6.2479848269
,,,26322087.7857665,Kombiu Rural LLG,PG180416,Rabaul District,PG1804,East New Britain Province,PG18,Papua New Guinea,PG,"21",18356.0000003,Kombiu Rural,Kombiu Rural LLG,Rabaul District,East New Britain,152.2036178734,-4.2083091191
,,,1071998668.55182,Kome Rural LLG,PG120721,Menyamya District,PG1207,Morobe Province,PG12,Papua New Guinea,PG,"94",38550.9999995,Kome Rural,Kome Rural LLG,Menyamya District,Morobe,145.9877853819,-7.0713221544
,,,1041310518.45332,Komo Rural LLG,PG210412,Komo/Magarima District,PG2104,Hela Province,PG21,Papua New Guinea,PG,"51",86355.9999986,Komo Rural,Komo Rural LLG,Hulia District,Hela,142.7920653253,-6.0962041825
,,,1914266366.12093,Kompiam Rural LLG,PG080204,Kompiam District,PG0802,Enga Province,PG08,Papua New Guinea,PG,"81",35641.06597679,Kompiam Rural,Kompiam Rural LLG,Kompiam District,Enga,143.8481298003,-5.2781060799
,,,3127196320.38321,Konoagil Rural LLG,PG170207,Namatanai District,PG1702,New Ireland Province,PG17,Papua New Guinea,PG,"52",16734.29743873,Konoagil Rural,Konoagil Rural LLG,Namatanai District,New Ireland,152.8598698493,-4.3833669027
,,,2237618498.67825,Kotidanga Rural LLG,PG020105,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,"54",29197.99999871,Kotidanga Rural,Kotidanga Rural LLG,Kerema District,Gulf Province,145.8213515552,-7.5240162116
,,,484899147.304291,Kotna Rural LLG,PG090214,Dei District,PG0902,Western Highlands Province,PG09,Papua New Guinea,PG,"175",53749.48605125,Kotna Rural,Kotna Rural LLG,Dei District,Western Highlands,144.3887333488,-5.6239358828
,,,390098524.415372,Kotte Rural LLG,PG120207,Finschafen District,PG1202,Morobe Province,PG12,Papua New Guinea,PG,"48",16905.99999994,Kotte Rural,Kotte Rural LLG,Finschafen District,Morobe,147.7391787691,-6.4339182539
,,,3583690595.64447,Kove/Kaliai Rural LLG,PG190105,Kandrian/Gloucester District,PG1901,West New Britain Province,PG19,Papua New Guinea,PG,"76",27080.00000006,Kove/Kaliai Rural,Kove/Kaliai Rural LLG,Kandrian/Gloucester District,West New Britain,149.3532701108,-5.6847347319
,,,1686134262.0172,Kovon LLG,PG130317,Middle Ramu District,PG1303,Madang Province,PG13,Papua New Guinea,PG,"17",21943.0000023,Kovon,Kovon LLG,Middle Ramu District,Madang,144.2919299283,-5.0537022069
,,,363957650.680146,Kuare Rural LLG,PG070310,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,Papua New Guinea,PG,"92",28145.99999983,Kuare Rural,Kuare Rural LLG,Kagua/Erave District,Southern Highlands,144.0258523782,-6.5262193802
,,,3509371.47725858,Kundiawa Urban LLG,PG100513,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"29",24414.0000002,Kundiawa Urban,Kundiawa Urban LLG,Kundiawa/Gembogl District,Chimbu (Simbu),144.9689139223,-6.0203771116
,,,1052181107.70435,Kunua LLG,PG200102,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,Papua New Guinea,PG,"53",32017.000001,Kunua,Kunua LLG,North Bougainville District,Bougainville,154.8506979004,-5.8735144497
,,,196194442.907221,Kup Rural LLG,PG100412,Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"36",21917.00000011,Kup Rural,Kup Rural LLG,Kerowagi District,Chimbu (Simbu),144.7969878120,-6.0265883041
,,,838209182.453369,Labuta Rural LLG,PG120823,Nawae District,PG1208,Morobe Province,PG12,Papua New Guinea,PG,"33",24544.99999925,Labuta Rural,Labuta Rural LLG,Nawae District,Morobe,147.2634703190,-6.6403002956
,,,43424304.7148501,Lae Urban LLG,PG120516,Lae District,PG1205,Morobe Province,PG12,Papua New Guinea,PG,"185",110910.99999638,Lae Urban,Lae Urban LLG,Lae District,Morobe,146.9843509063,-6.7001359490
,,,681284736.585387,Lagaip Rural LLG,PG080306,Lagaip/Pogera District,PG0803,Enga Province,PG08,Papua New Guinea,PG,"41",38353.33161933,Lagaip Rural,Lagaip Rural LLG,Laigap District,Enga,143.3846247468,-5.4799183026
,,,375518458.51114,Lai Valley Rural LLG,PG070619,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,Papua New Guinea,PG,"97",50273.0000015,Lai Valley Rural,Lai Valley Rural LLG,Mendi/Munihu District,Southern Highlands,143.4835159660,-6.0417167693
,,,2745662564.3467,Lake Kopiago Rural LLG,PG210515,Koroba/Kopiago District,PG2105,Hela Province,PG21,Papua New Guinea,PG,"204",40931.99999872,Lake Kopiago Rural,Lake Kopiago Rural LLG,Koroba/Kopiago District,Hela,142.4818155902,-5.2402918905
,,,2789911318.16657,Lake Kutubu Rural LLG,PG070722,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,Papua New Guinea,PG,"61",29570.99999966,Lake Kutubu Rural,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands,143.3809844895,-6.5096037318
,,,12634994336.5407,Lake Murray Rural LLG,PG010104,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,"43",18509.9999997,Lake Murray Rural LLG,Lake Murray Rural LLG,Middle Fly District,Western,141.4674760710,-6.9249010057
,,,2678422575.68797,Lakekamu-Tauri Rural LLG,PG020106,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,"46",26681.00000059,Lakekamu-Tauri Rural,Lakekamu-Tauri Rural LLG,Kerema District,Gulf Province,146.2922920278,-7.8618674399
,,,699467330.413604,Lamari Rural LLG,PG110608,Obura/Wonenara District,PG1106,Eastern Highlands Province,PG11,Papua New Guinea,PG,"117",14073.000000032,Lamari Rural,Lamari Rural LLG,Obura/Wonenara District,Eastern Highlands,145.8959487289,-6.6334160603
,,,2010185328.94527,Lassul Baining Rural LLG,PG180103,Gazelle District,PG1801,East New Britain Province,PG18,Papua New Guinea,PG,"48",19390.99999925,Lassul Baining Rural,Lassul Baining Rural LLG,Gazelle District,East New Britain,151.7154141288,-4.5221155974
,,,225947249.460152,Lelemadih/Bupichupeu LLG,PG160105,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"29",9900.00000009,Lelemadih/Bupichupeu,Lelemadih/Bupichupeu LLG,Manus District,Manus,147.1989629618,-2.0456390274
,,,115642710.752664,Livuan/Reimber Rural LLG,PG180104,Gazelle District,PG1801,East New Britain Province,PG18,Papua New Guinea,PG,"36",38624.99999886,Livuan/Reimber Rural,Livuan/Reimber Rural LLG,Gazelle District,East New Britain,152.0617111368,-4.2323242130
,,,8150685.66516945,Lorengau Urban LLG,PG160106,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"21",11853,Lorengau Urban,Lorengau Urban LLG,Manus District,Manus,147.2792458900,-2.0357889398
,,,51275437.9285344,Los Negros LLG,PG160107,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"15",5347.99999996,Los Negros,Los Negros LLG,Manus District,Manus,147.3897535830,-2.0449227833
,,,304326193.854309,Louisiade Rural LLG,PG050209,Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,"103",150674.99999732,Louisiade Rural,Louisiade Rural LLG,Samarai-Murua District,Milne Bay Province,152.6553540238,-10.7292316527
,,,1263017407.30964,Lovongai Rural LLG,PG170102,Kavieng District,PG1701,New Ireland Province,PG17,Papua New Guinea,PG,"85",31882.00000004,Lovongai Rural,Lovongai Rural LLG,Kavieng District,New Ireland,150.2380354781,-2.5298201933
,,,181001893.299861,Lower Asaro Rural LLG,PG110112,Daulo District,PG1101,Eastern Highlands Province,PG11,Papua New Guinea,PG,"146",60426.2155194,Lower Asaro Rural,Lower Asaro Rural LLG,Daulo District,Eastern Highlands,145.2675664326,-5.9971661638
,,,232755393.89109,Lower Benna LLG,PG110811,Unggai/Benna District,PG1108,Eastern Highlands Province,PG11,Papua New Guinea,PG,"138",61446.95850634,Lower Benna,Lower Benna LLG,Unggai/Benna District,Eastern Highlands,145.4755343131,-6.1578793110
