Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
235483566.34879136086,Mitnande Rural LLG,PG100514,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,"79",23537.000000,Mitnande Rural,Kundiawa/Gembogl District,Chimbu (Simbu)
23143791056.80420303345,Morehead Rural LLG,PG010313,South Fly District,PG0103,Western Province,PG01,"72",21617.000000,Morehead Rural LLG,South Fly District,Western
1694671521.80839347839,Morobe Rural LLG,PG120309,Huon District,PG1203,Morobe Province,PG12,"40",26858.000000,Morobe Rural,Huon District,Morobe
1740531030.55021309853,Mosa Rural LLG,PG190210,Talasea District,PG1902,West New Britain Province,PG19,"33",58233.999998,Mosa Rural,Nakanai District,West New Britain
3941742356.66855669022,Mt Bosavi Rural LLG,PG070723,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"54",6162.000000,Mt Bosavi Rural,Nipa/Kutubu District,Southern Highlands
68971302.81129088998,Mt Digine Rural LLG,PG100206,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,"43",23117.000001,Mt Digine Rural,Gumine District,Chimbu (Simbu)
791964169.90289640427,Mt Giluwe Rural LLG,PG090712,Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,"134",53556.000000,Mt Giluwe Rural,Tambul/Nebilyer District,Western Highlands
301904292.12447774410,Mt Hagen Rural LLG,PG090304,Mt Hagen District,PG0903,Western Highlands Province,PG09,"298",134202.000002,Mt Hagen Rural,Mt Hagen District,Western Highlands
9723569.05537961796,Mt Hagen Urban LLG,PG090305,Mt Hagen District,PG0903,Western Highlands Province,PG09,"70",47063.999998,Mt Hagen Urban,Mt Hagen District,Western Highlands
498309086.75922113657,Mt. Michael Rural LLG,PG110520,Lufa District,PG1105,Eastern Highlands Province,PG11,"86",21660.225559,Mt. Michael Rural,Lufa District,Eastern Highlands
296977495.79099917412,Mul Rural LLG,PG090508,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,"78",54596.999999,Mul Rural,Mul/Baiyer District,Western Highlands
1311770997.39730429649,Mumeng Rural LLG,PG120101,Bulolo District,PG1201,Morobe Province,PG12,"54",32964.000001,Mumeng Rural,Bulolo District,Morobe
390330670.28876245022,Murat Rural LLG,PG170101,Kavieng District,PG1701,New Ireland Province,PG17,"37",4368.000000,Murat Rural,Kavieng District,New Ireland
939060253.64387655258,Murua Rural LLG,PG050211,Samarai-Murua District,PG0502,Milne Bay Province,PG05,"26",45878.999999,Murua Rural,Samarai-Murua District,Milne Bay Province
748742176.22704279423,Nabak Rural LLG,PG120824,Nawae District,PG1208,Morobe Province,PG12,"39",21652.999999,Nabak Rural,Nawae District,Morobe
1170238697.26352691650,Naho Rawa Rural LLG,PG130411,Rai Coast District,PG1304,Madang Province,PG13,"41",17082.000001,Naho Rawa Rural,Rai Coast District,Madang
162700527.92464298010,Nali Sopat/Penabu LLG,PG160108,Manus District,PG1601,Manus Province,PG16,"18",6350.000000,Nali Sopat/Penabu,Manus District,Manus
1252303346.84789752960,Namatanai Rural LLG,PG170205,Namatanai District,PG1702,New Ireland Province,PG17,"85",34241.702561,Namatanai Rural,Namatanai District,New Ireland
2337484763.53094196320,Namea Rural LLG,PG150308,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"32",20330.000001,Namea Rural,Telefomin District,West Sepik (Sandaun)
536070159.39678835869,Nanima Kariba LLG,PG120734,Menyamya District,PG1207,Morobe Province,PG12,"45",35017.135407,Nanima Kariba,Menyamya District,Morobe
266472478.01211133599,National Capital District,PG040101,National Capital District,PG0401,National Capital District,PG04,"485",513917.999999,,,
657534126.92467176914,Nayudo Rural LLG,PG130418,Rai Coast District,PG1304,Madang Province,PG13,"29",19097.400601,Nayudo Rural,Rai Coast District,Madang
1000355108.81621944904,Nebilyer Rural LLG,PG090713,Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,"69",51196.999999,Nebilyer Rural,Tambul/Nebilyer District,Western Highlands
139742130.75224381685,Nembi Plateau Rural LLG,PG070724,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"21",95221.000000,Nembi Plateau Rural,Nipa/Kutubu District,Southern Highlands
94025302.15222908556,Niglkande Rural LLG,PG100515,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,"58",26319.000000,Niglkande Rural,Kundiawa/Gembogl District,Chimbu (Simbu)
32795747.46553179994,Nigoherm LLG,PG160102,Manus District,PG1601,Manus Province,PG16,"9",5379.000000,Nigoherm,Manus District,Manus
218816132.66251781583,Nimamar Rural LLG,PG170209,Namatanai District,PG1702,New Ireland Province,PG17,"50",30688.000000,Nimamar Rural,Namatanai District,New Ireland
2355322804.55557203293,Ningerum Rural LLG,PG010208,North Fly District,PG0102,Western Province,PG01,"85",26058.000001,Ningerum Rural LLG,North Fly District,Western
486934072.41254729033,Nipa Rural LLG,PG070725,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"243",117302.000001,Nipa Rural,Nipa/Kutubu District,Southern Highlands
37144509.75204332173,Nissan LLG,PG200105,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"30",8426.000000,Nissan,North Bougainville District,Bougainville
21352376482.75238418579,Nomad Rural LLG,PG010105,Middle Fly District,PG0101,Western Province,PG01,"82",23076.000000,Nomad Rural LLG,Middle Fly District,Western
269850490.14360445738,Nomane Rural LLG,PG100308,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,"46",9443.000000,Nomane Rural,Karimui/Nomane District,Chimbu (Simbu)
153386826.60279640555,Nondugl Rural LLG,PG220615,North Waghi District,PG2206,Jiwaka Province,PG22,"101",48865.940697,Nondugl Rural,North Waghi District,Jiwaka
